Name,Mass,Radius,Period,StTeff,StRadius,Letter
Kepler-54,0.37,0.11,12.0717249,4252.0,0.55,c
Kepler-54,,0.136,20.995694,4252.0,0.55,d
Kepler-55,1.11,0.197,42.1516418,4503.0,0.62,c
Kepler-55,,0.142,2.211099,4503.0,0.62,d
Kepler-55,,0.138,4.617534,4503.0,0.62,e
Kepler-56,0.07,0.581,10.5016,4840.0,4.23,b
Kepler-56,0.57,0.874,21.40239,4840.0,4.23,c
Kepler-57,18.86,0.195,5.7293196,5145.0,0.73,b
Kepler-58,1.39,0.248,10.2184954,6099.0,1.13,b
Kepler-58,2.19,0.255,15.5741568,6099.0,1.13,c
Kepler-58,,0.262,40.101371,6099.0,1.13,d
Kepler-59,2.05,0.098,11.8681707,6074.0,0.94,b
Kepler-60,0.01318,0.153,7.1334,5905.0,1.26,b
Kepler-60,0.01211,0.17,8.9187,5905.0,1.26,c
Kepler-60,0.01309,0.178,11.8981,5905.0,1.26,d
Kepler-62,0.03,0.117,5.714932,4925.0,0.64,b
Kepler-62,0.013,0.048,12.4417,4925.0,0.64,c
Kepler-62,0.044,0.174,18.16406,4925.0,0.64,d
Kepler-62,0.11,0.126,267.291,4925.0,0.64,f
Kepler-65,,0.127,2.15491,6211.0,1.41,b
Kepler-65,,0.136,8.13123,6211.0,1.41,d
Kepler-68,0.01878,0.208,5.39875,5793.0,1.24,b
Kepler-68,0.02265,0.089,9.60504,5793.0,1.24,c
Kepler-69,,0.2,13.722341,5638.0,0.93,b
Kepler-69,,0.153,242.4613,5638.0,0.93,c
KOI-55,0.0014,0.068,0.240104,27730.0,0.2,b
KOI-55,0.0021,0.077,0.342887,27730.0,0.2,c
HD 20794,,,90.309,5401.0,,d
HD 27894,,,18.02,,,b
HD 30177,,,2524.4,5580.0,,b
HD 34445,,,1056.7,5836.0,1.38,b
HD 37124,,,154.378,,,b
HD 37124,,,1862.0,,,d
HD 37605,,,55.01307,5448.0,0.9,b
HD 38529,,,14.3098,5697.0,,b
HD 38529,,,2140.2,5697.0,,c
HD 40307,,,4.3123,4956.0,,b
HD 40307,,,20.432,4956.0,,d
HD 40307,,,51.76,4956.0,,f
HD 45364,,,226.93,,,b
HD 47186,,,4.0845,5675.0,,b
HD 60532,,,201.9,6245.0,2.57,b
HD 60532,,,600.1,6245.0,2.57,c
HD 65216,,,572.4,5666.0,,b
HD 67087,,,2374.0,6330.0,1.55,c
HD 69830,,,31.56,5385.0,,c
HD 69830,,,197.0,5385.0,,d
HD 73526,,,188.9,,,b
HD 74156,,,51.645,6068.0,,b
HD 74156,,,2473.0,6068.0,,c
HD 82943,1.959,,220.078,6016.0,,c
HD 108874,,,395.8,5551.0,,b
HD 108874,,,1624.0,5551.0,,c
HD 109271,,,30.93,5783.0,,c
HD 113538,,,663.2,4462.0,0.53,b
HD 113538,,,1818.0,4462.0,0.53,c
HD 125612,,,559.4,5900.0,,b
HD 125612,,,4.1547,5900.0,,c
HD 128311,,,453.019,,0.76,b
HD 128311,3.789,,921.538,,0.76,c
HD 134987,,,258.19,5585.0,1.25,b
HD 147018,,,44.236,5441.0,,b
HD 154857,,,408.6,5605.0,1.76,b
HD 155358,,,194.3,,,b
HD 155358,,,391.9,,,c
HD 159243,,,12.62,6123.0,1.12,b
HD 159243,,,248.4,6123.0,1.12,c
HD 159868,,,352.3,5558.0,,c
HD 160691,,,643.25,5807.0,,b
HD 160691,,,9.6386,5807.0,,d
HD 160691,,,310.55,5807.0,,e
HD 163607,,,1314.0,5543.0,1.63,c
HD 164922,,,1201.1,5293.0,1.0,b
HD 168443,,,58.11247,5491.0,1.51,b
HD 168443,,,1749.83,5491.0,1.51,c
HD 169830,,,2102.0,6299.0,,c
HD 177830,,,406.6,4949.0,2.62,b
HD 177830,,,110.9,4949.0,2.62,c
HD 181433,,,9.3743,4962.0,,b
HD 181433,,,2172.0,4962.0,,d
HD 183263,,,626.5,5936.0,,b
HD 215497,,,567.94,5113.0,,c
HD 217107,,,4270.0,5646.0,,c
HIP 5158,,,9017.76,4962.0,,c
HIP 14810,,,147.73,5485.0,1.0,c
HIP 14810,,,952.0,5485.0,1.0,d
GJ 1148,,,41.38,,,b
HIP 57274,,,8.1352,,,b
HIP 57274,,,431.7,,,d
HIP 67851,,,2131.8,4890.0,5.92,c
HD 183263,,,3070.0,5936.0,,c
HD 187123,,,3.0965828,5830.0,,b
HD 187123,,,3810.0,5830.0,,c
HD 190360,,,2915.0,5590.0,1.13,b
HD 190360,,,17.111,5590.0,1.13,c
HD 192310,,,74.72,5166.0,,b
HD 200964,,,613.8,5164.0,4.3,b
HD 200964,,,825.0,5164.0,4.3,c
HD 202206,,,1383.4,5765.0,,c
HD 204313,,,2024.1,5776.0,,b
HD 207832,,,161.97,5710.0,0.9,b
HD 207832,,,1155.7,5710.0,0.9,c
Kepler-18,0.054,0.49,7.64159,5345.0,1.11,c
Kepler-18,0.052,0.623,14.85888,5345.0,1.11,d
Kepler-19,0.02643,,9.28716,5544.0,0.86,b
Kepler-20,0.03052,0.167,3.69611525,5495.0,0.96,b
Kepler-20,0.04012,0.272,10.85409089,5495.0,0.96,c
Kepler-20,0.03168,0.245,77.61130017,5495.0,0.96,d
Kepler-20,,0.089,19.57758478,5495.0,0.96,f
Kepler-23,0.8,0.17,7.1073,5828.0,1.55,b
Kepler-23,,0.196,15.274299,5828.0,1.55,d
Kepler-24,1.6,0.214,8.1453,5897.0,1.29,b
Kepler-24,1.6,0.25,12.3335,5897.0,1.29,c
Kepler-24,,0.248,18.998355,5897.0,1.29,e
Kepler-25,0.0302,0.242,6.2385,6270.0,1.31,b
Kepler-25,0.0774,0.464,12.7204,6270.0,1.31,c
Kepler-26,0.01611,0.248,12.28,3914.0,0.51,b
Kepler-26,,0.215,46.827915,3914.0,0.51,e
Kepler-27,9.11,0.357,15.3348,5400.0,0.59,b
Kepler-27,13.8,0.437,31.3309,5400.0,0.59,c
Kepler-28,1.36,0.303,8.9858,4590.0,0.7,c
Kepler-29,0.01419,0.299,10.3384,5701.0,0.93,b
Kepler-29,0.01259,0.28,13.2884,5701.0,0.93,c
Kepler-30,2.01,1.097,60.323105,5498.0,0.95,c
Kepler-30,0.073,0.785,143.34394,5498.0,0.95,d
Kepler-31,,0.491,20.8613,6340.0,1.22,b
Kepler-31,4.7,0.473,42.6318,6340.0,1.22,c
Kepler-32,4.1,0.196,5.90124,3900.0,0.53,b
Kepler-32,0.5,0.178,8.7522,3900.0,0.53,c
Kepler-32,,0.241,22.7802,3900.0,0.53,d
Kepler-32,,0.073,0.74296,3900.0,0.53,f
Kepler-33,,0.155,5.66793,5904.0,1.82,b
Kepler-33,,0.285,13.17562,5904.0,1.82,c
HR 8799,7.0,1.2,170000.0,,,b
HR 8799,10.0,1.2,69000.0,,,c
HR 8799,,,18000.0,,,e
K2-3,,0.165,24.64354,3896.0,0.56,c
KELT-6,,1.18,7.8455821,6272.0,1.53,b
Kepler-9,0.252,0.842,19.24,5777.0,1.02,b
Kepler-9,0.171,0.823,38.91,5777.0,1.02,c
Kepler-9,,0.146,1.592851,5777.0,1.02,d
Kepler-10,0.054,0.21,45.294301,5627.0,1.06,c
Kepler-11,0.006,0.161,10.3039,5663.0,1.06,b
Kepler-11,0.009,0.256,13.0241,5663.0,1.06,c
Kepler-11,0.023,0.278,22.6845,5663.0,1.06,d
Kepler-11,0.006,0.222,46.6888,5663.0,1.06,f
Kepler-11,0.079,0.297,118.3807,5663.0,1.06,g
Kepler-33,,0.477,21.77596,5904.0,1.82,d
Kepler-33,,0.359,31.7844,5904.0,1.82,e
Kepler-33,,0.398,41.02902,5904.0,1.82,f
Kepler-36,0.014,0.133,13.83989,5911.0,1.63,b
Kepler-36,0.025,0.328,16.23855,5911.0,1.63,c
Kepler-37,0.03146,0.029,13.3675,5417.0,0.77,b
Kepler-37,0.03776,0.067,21.302,5417.0,0.77,c
Kepler-37,0.03839,0.173,39.7922,5417.0,0.77,d
Kepler-42,,0.07,1.2137672,3068.0,0.17,b
Kepler-42,,0.065,0.45328509,3068.0,0.17,c
Kepler-42,,0.051,1.865169,3068.0,0.17,d
Kepler-403,,0.127,13.61159129,6090.0,1.33,d
Kepler-1336,,0.177,23.198681,5512.0,1.3,b
Kepler-1336,,0.153,5.77721211,5512.0,1.3,c
Kepler-1350,,0.225,4.4968604,3827.0,0.53,b
Kepler-1350,,0.154,1.76678906,3827.0,0.53,c
Wolf 1061,,,4.8869,3342.0,0.31,b
Wolf 1061,,,17.8719,3342.0,0.31,c
Wolf 1061,,,217.21,3342.0,0.31,d
Kepler-1365,,0.082,7.69993485,5770.0,1.05,b
Kepler-1365,,0.071,4.77468005,5770.0,1.05,c
Kepler-1370,,0.164,20.2641684,6202.0,1.29,b
Kepler-1370,,0.113,7.44142113,6202.0,1.29,c
Kepler-1371,,0.065,3.4462039,5361.0,0.83,b
Kepler-1371,,0.057,2.00541269,5361.0,0.83,c
Kepler-81,,0.216,5.955,4500.0,0.59,b
Kepler-81,,0.211,12.04,4500.0,0.59,c
Kepler-81,,0.108,20.837846,4500.0,0.59,d
Kepler-82,,0.477,51.538,5428.0,0.94,c
Kepler-82,,0.158,2.382961,5428.0,0.94,d
Kepler-82,,0.22,5.902206,5428.0,0.94,e
Kepler-83,,0.211,20.09,4648.0,0.59,c
Kepler-83,,0.173,5.169796,4648.0,0.59,d
Kepler-84,,0.199,8.726,6031.0,1.17,b
Kepler-84,,0.123,4.224537,6031.0,1.17,d
Kepler-84,,0.232,27.434389,6031.0,1.17,e
Kepler-84,,0.196,44.552169,6031.0,1.17,f
Kepler-85,,0.194,12.513,5436.0,0.89,c
Kepler-85,,0.107,17.91323,5436.0,0.89,d
Kepler-85,,0.113,25.216751,5436.0,0.89,e
Kepler-87,0.02,0.548,191.2318,5600.0,1.82,c
KOI-142,0.027,0.337,10.95416,5471.0,0.88,b
KOI-142,0.626,,22.3395,5471.0,0.88,c
KOI-94,0.033,0.153,3.743208,6182.0,1.52,b
KOI-94,0.11,0.585,54.32031,6182.0,1.52,e
KOI-351,,0.117,7.008151,6080.0,1.2,b
KOI-351,,0.106,8.719375,6080.0,1.2,c
KOI-351,,0.256,59.73667,6080.0,1.2,d
KOI-351,,0.237,91.93913,6080.0,1.2,e
KOI-351,,0.257,124.9144,6080.0,1.2,f
KOI-351,,0.723,210.60697,6080.0,1.2,g
Kepler-92,0.202,0.313,13.749,5883.0,1.7,b
Kepler-93,0.01265,0.132,4.72673978,5669.0,0.92,b
Kepler-93,3.0,,1460.0,5669.0,0.92,c
Kepler-97,1.08,,789.0,5779.0,0.98,c
Kepler-100,,0.144,35.3331,5825.0,1.49,d
Kepler-101,0.01,0.112,6.02976,5667.0,1.56,c
Kepler-102,,0.042,5.28696,4909.0,0.76,b
Kepler-102,,0.052,7.07142,4909.0,0.76,c
Kepler-102,0.028,0.198,16.1457,4909.0,0.76,e
Kepler-104,,0.277,11.427548,5711.0,1.35,b
Kepler-104,,0.319,51.755394,5711.0,1.35,d
Kepler-105,,0.429,5.4122,5827.0,0.89,b
Kepler-105,0.01447,0.117,7.1262,5827.0,0.89,c
Kepler-106,0.033,0.223,13.5708,5858.0,1.04,c
Kepler-106,,0.085,23.9802,5858.0,1.04,d
Kepler-107,,0.139,3.179997,5851.0,1.41,b
Kepler-107,,0.161,4.901425,5851.0,1.41,c
Kepler-107,,0.308,14.749049,5851.0,1.41,e
Kepler-108,,0.772,49.183921,5854.0,2.19,b
Kepler-108,,0.73,190.323494,5854.0,2.19,c
Kepler-109,,0.225,21.2227,5952.0,1.32,c
Kepler-110,,0.163,12.691112,5960.0,1.15,b
Kepler-111,,0.141,3.341815,5952.0,1.16,b
Kepler-79,0.0343,0.31,13.4845,6174.0,1.3,b
Kepler-79,0.019,0.332,27.4029,6174.0,1.3,c
Kepler-79,0.013,0.311,81.0659,6174.0,1.3,e
Kepler-80,0.0218,0.238,7.05246,4540.0,0.68,b
Kepler-80,0.02121,0.244,9.52355,4540.0,0.68,c
Kepler-80,0.02124,0.136,3.07222,4540.0,0.68,d
Kepler-111,,0.651,224.784608,5952.0,1.16,c
Kepler-112,,0.211,8.408878,5544.0,0.84,b
Kepler-113,0.037,0.162,4.754,4725.0,0.69,b
Kepler-113,,0.194,8.92507,4725.0,0.69,c
Kepler-114,,0.112,5.188549,4605.0,0.67,b
Kepler-114,0.012,0.226,11.776,4605.0,0.67,d
24 Sex,,,452.8,5098.0,4.9,b
47 UMa,,,2391.0,5892.0,1.23,c
47 UMa,,,14002.0,5892.0,1.23,d
55 Cnc,0.8306,,14.65152,5196.0,0.94,b
55 Cnc,0.1714,,44.4175,5196.0,0.94,c
55 Cnc,0.02542,0.17,0.736539,5196.0,0.94,e
55 Cnc,0.141,,262.0,5196.0,0.94,f
61 Vir,,,4.215,5577.0,0.96,b
61 Vir,,,38.021,5577.0,0.96,c
NN Ser,7.33,,5573.55,57000.0,,c
UZ For,6.3,,5840.0,,,b
nu Oph,,,530.32,4928.0,15.1,b
ups And,,,4.617033,,1.56,b
ups And,,,1276.46,,1.56,d
BD-08 2823,,,5.6,4746.0,,b
BD-08 2823,,,237.6,4746.0,,c
BD-06 1339,,,3.8728,4324.0,,b
BD+20 2457,,,379.63,4137.0,49.0,b
HD 1461,,,13.5052,5765.0,,c
HD 204313,,,34.905,5776.0,,c
KOI-7892,,0.366,31.8099,6474.0,1.26,b
KOI-7892,,0.214,75.2,6474.0,1.26,c
KIC 9663113,,0.41,572.3847,6065.0,1.03,b
KIC 5437945,,0.571,440.7813,6340.0,1.24,b
Kepler-825,,0.136,3.77360059,5976.0,1.08,b
Kepler-825,,0.164,8.1818246,5976.0,1.08,c
OGLE-2012-BLG-0,0.39,,,,,b
OGLE-2012-BLG-0,0.47,,,,,b
Kepler-887,,0.164,20.42228798,6194.0,1.29,b
